uid,brand,year,model,title,usedOrNew,transmission,engine,driveType,fuelType,fuelConsumption,kilometres,cylindersInEngine,bodyType,suburb,state,doors,seats,extColour,intColour,price
e14283be-4755-42fa-ab75-2f9cea04a2b0,Abarth,2021,595,Competizione,USED,Manual,1.4,Front,Premium,6.0,13200,4.0,Hatchback,Ryde,NSW,3,4,Black,Black,36990
64d1c21f-5a89-46bf-9d11-db1d6b5addbc,Abarth,2021,595,Competizione,USED,Automatic,1.4,Front,Premium,5.8,14901,4.0,Hatchback,Pakenham,VIC,3,4,Grey,Black,37990
5e7f2196-f84b-4b27-81c6-81c3981b2269,Alfa,2015,Romeo,Giulietta Quadrifoglio Verde,USED,Automatic,1.7,Front,Premium,7.0,98446,4.0,Hatchback,Minchinbury,NSW,5,5,White,Black Leather,24995
7e026bd0-1e1a-4a7a-8d96-6f4af8980647,Alfa,2008,Romeo,159 2.2 JTS,USED,Automatic,2.2,Front,Premium,9.2,104776,4.0,Sedan,Ringwood,VIC,4,5,Grey,Black,12890
cd237ac7-4cdb-46b6-b790-49642fa7be0e,Alfa,2014,Romeo,Mito Progression,USED,Manual,1.4,Front,Premium,5.6,92500,4.0,Hatchback,Hendra,QLD,3,5,White,Black,10692
d6223fa2-93b6-40d9-9fdb-6033ba05d16d,Alfa,2019,Romeo,Stelvio Quadrifoglio,USED,Automatic,2.9,AWD,Premium,10.2,63319,6.0,SUV,Nunawading,VIC,4,5,Blue,Black,91990
ba5c9fe7-b1a6-4826-9c38-1d191faa821c,Alfa,2015,Romeo,Giulietta Quadrifoglio Verde,USED,Automatic,1.7,Front,Premium,7.0,52269,4.0,Hatchback,Chatswood,NSW,5,5,Red,Black,22880
a2e0fe50-09ef-450f-ab22-02250c369864,Alfa,2012,Romeo,159 Sportwagon 2.4 JTD TI,USED,Automatic,2.4,Front,Diesel,8.0,199379,5.0,Wagon,Thomastown,VIC,4,5,Black,Black,12990
7c94a1f9-6e1a-42bb-9d3c-02e98e24b3aa,Aston,2021,Martin,DBX,DEMO,Automatic,4.0,AWD,Premium,12.4,13117,8.0,SUV,Southport,QLD,5,5,Grey,Obsidian Black,369000
f29f995f-7011-4270-97a4-74d0eab2cc11,Audi,2022,Q3,35 Tfsi S Line,USED,Automatic,1.4,Front,Premium,7.3,13000,4.0,SUV,Artarmon,NSW,4,5,White,Black,62890
8b5e82e0-cd2e-4ce0-84ef-05f9a63b3f6e,Audi,2019,Q3,35 Tfsi S Tronic,USED,Automatic,1.4,Front,Premium,7.2,54143,4.0,SUV,Maryville,NSW,4,5,Black,Black,42980
